	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	0.35225965711805557	3.192068516522988e-05	3.192068516522988e-05
brf_gmosa	3.192068516522988e-05	1.0	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05
brf_gso	3.192068516522988e-05	3.192068516522988e-05	1.0	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05
brf_lmo	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	1.0	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	0.00021842356478230337	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05
brf_lso	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	1.0	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	0.899932861328125
brf_sgso	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	1.0	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05
brf_sgso_us	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	1.0	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05
bxt_gmo	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	0.00021842356478230337	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	1.0	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05
bxt_gmosa	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	1.0	3.192068516522988e-05	3.192068516522988e-05	6.311590021306819e-05	3.192068516522988e-05	3.192068516522988e-05
bxt_gso	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	1.0	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05
bxt_lmo	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	1.0	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05
bxt_lso	0.35225965711805557	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	6.311590021306819e-05	3.192068516522988e-05	3.192068516522988e-05	1.0	3.192068516522988e-05	3.192068516522988e-05
bxt_sgso	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	1.0	3.192068516522988e-05
bxt_sgso_us	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	0.899932861328125	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	3.192068516522988e-05	1.0
