	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	0.029980052601207386	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05
brf_gmosa	3.267176011029412e-05	1.0	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05
brf_gso	3.267176011029412e-05	3.267176011029412e-05	1.0	3.267176011029412e-05	9.576205549568965e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05
brf_lmo	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	1.0	0.11929046973753511	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05
brf_lso	3.267176011029412e-05	3.267176011029412e-05	9.576205549568965e-05	0.11929046973753511	1.0	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05
brf_sgso	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	1.0	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05
brf_sgso_us	0.029980052601207386	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	1.0	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	0.820892333984375
bxt_gmo	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	1.0	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05
bxt_gmosa	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	1.0	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	6.458371184593024e-05	3.267176011029412e-05
bxt_gso	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	1.0	3.267176011029412e-05	3.267176011029412e-05	0.13117167154947917	3.267176011029412e-05
bxt_lmo	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	1.0	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05
bxt_lso	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	1.0	3.267176011029412e-05	3.267176011029412e-05
bxt_sgso	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	6.458371184593024e-05	0.13117167154947917	3.267176011029412e-05	3.267176011029412e-05	1.0	3.267176011029412e-05
bxt_sgso_us	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	0.820892333984375	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	3.267176011029412e-05	1.0
