	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.0087890625	0.0087890625	0.02572408536585366	0.0087890625	0.05723110465116279	0.0087890625	0.0087890625	0.0087890625	0.2556818181818182
bxt_gmo__nrlmf	0.0087890625	1.0	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625
bxt_gmosa	0.0087890625	0.0087890625	1.0	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625
bxt_gmosa__nrlmf	0.02572408536585366	0.0087890625	0.0087890625	1.0	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.05723110465116279
bxt_gso	0.0087890625	0.0087890625	0.0087890625	0.0087890625	1.0	0.0087890625	0.84375	0.0087890625	0.0087890625	0.0087890625
bxt_gso__nrlmf	0.05723110465116279	0.0087890625	0.0087890625	0.0087890625	0.0087890625	1.0	0.0087890625	0.0087890625	0.0087890625	0.0087890625
bxt_lmo	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.84375	0.0087890625	1.0	0.0087890625	0.0087890625	0.0087890625
bxt_lmo__nrlmf	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	1.0	0.0087890625	0.0087890625
bxt_lso	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	1.0	0.0087890625
bxt_lso__nrlmf	0.2556818181818182	0.0087890625	0.0087890625	0.05723110465116279	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	1.0
