	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05
blmnii_svm	3.4005301339285715e-05	1.0	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05
brf_lmo	3.4005301339285715e-05	3.4005301339285715e-05	1.0	9.918212890625e-05	0.8714322176846591	3.4005301339285715e-05	6.705270686619719e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05
bxt_gmo__nrlmf	3.4005301339285715e-05	3.4005301339285715e-05	9.918212890625e-05	1.0	3.4005301339285715e-05	3.4005301339285715e-05	0.4445969431023849	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05
bxt_gmosa_1k	3.4005301339285715e-05	3.4005301339285715e-05	0.8714322176846591	3.4005301339285715e-05	1.0	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05
bxt_gmosa__nrlmf	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	1.0	3.4005301339285715e-05	0.0008151955800513699	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	0.979949951171875
bxt_gso_1k	3.4005301339285715e-05	3.4005301339285715e-05	6.705270686619719e-05	0.4445969431023849	3.4005301339285715e-05	3.4005301339285715e-05	1.0	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05
bxt_gso__nrlmf	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	0.0008151955800513699	3.4005301339285715e-05	1.0	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	0.06079596442145271
dnilmf	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	1.0	3.4005301339285715e-05	3.4005301339285715e-05	0.0971826171875	3.4005301339285715e-05
dthybrid	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	1.0	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05
lmorls	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	1.0	3.4005301339285715e-05	3.4005301339285715e-05
md_ss_bxt_gso	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	0.0971826171875	3.4005301339285715e-05	3.4005301339285715e-05	1.0	3.4005301339285715e-05
nrlmf	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	0.979949951171875	3.4005301339285715e-05	0.06079596442145271	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	3.4005301339285715e-05	1.0
