	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
blmnii_svm	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
brf_lmo	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	6.433435388513514e-05	3.3526353433098594e-05	3.3526353433098594e-05	6.433435388513514e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
bxt_gmo__nrlmf	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
bxt_gmosa_1k	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	0.792107123833198	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	0.00022216796875	3.3526353433098594e-05
bxt_gmosa__nrlmf	3.3526353433098594e-05	3.3526353433098594e-05	6.433435388513514e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	0.5084597938939145	6.433435388513514e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
bxt_gso_1k	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	0.792107123833198	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
bxt_gso__nrlmf	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	0.5084597938939145	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
dnilmf	3.3526353433098594e-05	3.3526353433098594e-05	6.433435388513514e-05	3.3526353433098594e-05	3.3526353433098594e-05	6.433435388513514e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
dthybrid	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
lmorls	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05
md_ss_bxt_gso	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	0.00022216796875	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05
nrlmf	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0
