	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
blmnii_svm	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
brf_lmo	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	1.0	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05
bxt_gmo__nrlmf	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.005746895926339286	3.552792677238806e-05	3.552792677238806e-05
bxt_gmosa_1k	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	1.0	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05
bxt_gmosa__nrlmf	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	0.0015052346622242646	0.04244436344630282	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
bxt_gso_1k	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	1.0	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05
bxt_gso__nrlmf	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.0015052346622242646	3.552792677238806e-05	1.0	0.003035835597826087	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
dnilmf	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.04244436344630282	3.552792677238806e-05	0.003035835597826087	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
dthybrid	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
lmorls	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.005746895926339286	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05
md_ss_bxt_gso	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	1.0	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05
nrlmf	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0
