	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.00015735626220703125	0.07391357421875	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05
ad_fixed__70	0.00015735626220703125	1.0	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05
ad_random__70	0.07391357421875	3.197079613095238e-05	1.0	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05
ad_size__70	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	1.0	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05
md_density__70	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	1.0	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05
md_fixed__70	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	1.0	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05
md_random__70	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	1.0	3.197079613095238e-05	3.197079613095238e-05	0.00523681640625	3.197079613095238e-05	3.197079613095238e-05
md_size__70	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	1.0	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05
mse_density__70	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	1.0	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05
mse_fixed__70	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	0.00523681640625	3.197079613095238e-05	3.197079613095238e-05	1.0	3.197079613095238e-05	3.197079613095238e-05
mse_random__70	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	1.0	3.197079613095238e-05
mse_size__70	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	3.197079613095238e-05	1.0
